calendar-years,week-number,V4_1,administrative-geography,recorded-deaths
2010,week-1,12968,K04000001,total-registered-deaths
2010,week-2,12541,K04000001,total-registered-deaths
2010,week-3,11762,K04000001,total-registered-deaths
2010,week-4,11056,K04000001,total-registered-deaths
2010,week-5,10524,K04000001,total-registered-deaths
2010,week-6,10117,K04000001,total-registered-deaths
2010,week-7,10102,K04000001,total-registered-deaths
2010,week-8,10295,K04000001,total-registered-deaths
2010,week-9,9981,K04000001,total-registered-deaths
2010,week-10,9792,K04000001,total-registered-deaths
2010,week-11,9729,K04000001,total-registered-deaths
2010,week-12,9631,K04000001,total-registered-deaths
2010,week-13,8004,K04000001,total-registered-deaths
2010,week-14,9756,K04000001,total-registered-deaths
2010,week-15,9892,K04000001,total-registered-deaths
2010,week-16,9449,K04000001,total-registered-deaths
2010,week-17,9503,K04000001,total-registered-deaths
2010,week-18,8343,K04000001,total-registered-deaths
2010,week-19,9483,K04000001,total-registered-deaths
2010,week-20,9190,K04000001,total-registered-deaths
2010,week-21,9452,K04000001,total-registered-deaths
2010,week-22,8178,K04000001,total-registered-deaths
2010,week-23,9259,K04000001,total-registered-deaths
2010,week-24,8513,K04000001,total-registered-deaths
2010,week-25,8461,K04000001,total-registered-deaths
2010,week-26,8973,K04000001,total-registered-deaths
2010,week-27,8627,K04000001,total-registered-deaths
2010,week-28,8541,K04000001,total-registered-deaths
2010,week-29,8261,K04000001,total-registered-deaths
2010,week-30,8257,K04000001,total-registered-deaths
2010,week-31,8467,K04000001,total-registered-deaths
2010,week-32,8318,K04000001,total-registered-deaths
2010,week-33,8584,K04000001,total-registered-deaths
2010,week-34,8635,K04000001,total-registered-deaths
2010,week-35,7708,K04000001,total-registered-deaths
2010,week-36,8961,K04000001,total-registered-deaths
2010,week-37,8727,K04000001,total-registered-deaths
2010,week-38,8943,K04000001,total-registered-deaths
2010,week-39,8759,K04000001,total-registered-deaths
2010,week-40,9195,K04000001,total-registered-deaths
2010,week-41,9218,K04000001,total-registered-deaths
