V4_1,Data Marking,calendar-years,Time,administrative-geography,Geography,week-number,Week,recorded-deaths,Deaths
,x,2021,2021,E12000002,North West,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
397,,2020,2020,E12000003,Yorkshire and The Humber,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000008,South East,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1614,,2020,2020,E12000008,South East,week-45,Week 45,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000001,North East,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1294,,2020,2020,E12000003,Yorkshire and The Humber,week-45,Week 45,total-registered-deaths,Total registered deaths
675,,2020,2020,E12000001,North East,week-45,Week 45,total-registered-deaths,Total registered deaths
87,,2020,2020,E12000007,London,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
116,,2020,2020,E12000006,East of England,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
58,,2020,2020,E12000009,South West,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1937,,2020,2020,K04000001,England and Wales,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
152,,2020,2020,E12000001,North East,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000005,West Midlands,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000007,London,week-45,Week 45,total-registered-deaths,Total registered deaths
107,,2020,2020,E12000007,London,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
832,,2020,2020,W92000004,Wales,week-45,Week 45,total-registered-deaths,Total registered deaths
228,,2020,2020,E12000004,East Midlands,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,W92000004,Wales,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
191,,2020,2020,E12000004,East Midlands,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
568,,2020,2020,E12000002,North West,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
329,,2020,2020,E12000003,Yorkshire and The Humber,week-45,Week 45,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2250,,2020,2020,K04000001,England and Wales,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000004,East Midlands,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000009,South West,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000004,East Midlands,week-45,Week 45,total-registered-deaths,Total registered deaths
1177,,2020,2020,E12000006,East of England,week-45,Week 45,total-registered-deaths,Total registered deaths
990,,2020,2020,E12000004,East Midlands,week-45,Week 45,total-registered-deaths,Total registered deaths
236,,2020,2020,E12000005,West Midlands,week-45,Week 45,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
